Stadion,By,Kapacitet,Seats,Klub,Billede,Kategori
Parken,København,38035,38065,FC København,Parken,4
Brøndby Stadion,Brøndbyvester,28000,23400,Brøndby IF,Brøndby Stadion,3
Ceres Park,Aarhus,19433,19433,AGF,Ceres Park,3
Blue Water Arena,Esbjerg,17442,11286,Esbjerg fB,Blue Water Arena,3
Nature Energy Park,Odense,15790,13990,OB,Nature Energy Park,3
Aalborg Portland Park,Aalborg,13800,7800,AaB,Aalborg Portland Park,3
MCH Arena,Herning,11432,7070,FC Midtjylland,MCH Arena,3
Vejle Stadion,Vejle,11060,7559,Vejle B,Vejle Stadion,3
CASA Arena Horsens,Horsens,10495,7500,AC Horsens,CASA Arena,3
Right to Dream Park,Farum,10300,9800,FC Nordsjælland,Right To Dream Park,3
Cepheus Park Randers,Randers,10300,9000,Randers FC,Cepheus Park Randers,3
Energi Viborg Arena,Viborg,10000,9566,Viborg FF,Energi Viborg Arena,3
Jysk Park,Silkeborg,10000,6000,Silkeborg IF,Jysk Park,3
Sydbank Park,Haderslev,10000,5100,SønderjyskE,Sydbank Park,3
Gladsaxe Stadion,Gladsaxe,13507,7707,AB,Gladsaxe stadion,2
Pro Ventilation Arena,Hvidovre,12000,4600,Hvidovre IF,Hvidovre stadion,2
Valby Idrætspark,København,10000,4400,BK Frem,Valby idrætspark,2
DS Arena,Hobro,10700,3050,Hobro IK,Hobro IK,1
Lyngby Stadion,Kongens Lyngby,10100,3100,Lyngby BK,Lyngby BK,1
Harboe Arena Slagelse,Slagelse,10000,3300,Slagelse B&I,Slagelse B&I,1
Energi Nord Arena,Hjørring,10000,3050,Vendsyssel FF + Fortuna Hjørring,Vendsyssel FF + Fortuna Hjørring,1
ProfaGroup Park,Næstved,10000,2300,Næstved BK,Næstved BK,1
CM Arena,Nykøbing Falster,10000,2000,Nykøbing FC,Nykøbing FC,1
Autocentralen Park,Kolding,10000,1500,Kolding IF,Kolding IF,1
Hancock Arena,Skive,10000,523,Skive IK,Skive IK,1
Sundby Idrætspark,København,7200,2000,Fremad Amager + B.1908,Fremad Amager + B.1908,1
Roskilde Idrætspark,Roskilde,6000,512,FC Roskilde,FC Roskilde,1
Østerbro Stadion,København,4400,1200,B.93,B.93,1
Capelli Sport Stadion,Køge,4000,1500,HB Køge,HB Køge,1
Monjasa Park,Fredericia,4000,1180,FC Fredericia,FC Fredericia,1
Helsingør Stadion,Helsingør,4000,1000,FC Helsingør,FC Helsingør,1
Sparekassen Thy Arena,Thisted,4000,754,Thisted FC + FC THY-Thisted Q,Thisted FC + FC THY-Thisted Q,1
Gentofte Sportspark,Gentofte,4000,600,HIK,HIK,1
Tingbjerg Idrætspark,København,3000,600,Brønshøj BK,Brønshøj BK,1
